text,headlines
SELECT Desc_country FROM table WHERE Finrep = Yes-GAAP,What is the Desc_country where finrep is Yes-GAAP
SELECT NSA FROM table WHERE Period = 202015,What is NSA where period is 202015
SELECT SUM Amount FROM table,What is the Sum of Amount
SELECT SUM Amount FROM table WHERE Name = hhsa,Display the  SUM of Amount where Name is HASPA Finanzholding
SELECT Desc_country FROM table WHERE Finrep = Yes,What is the Desc_country where finrep is Yes
SELECT SUM Amount FROM table WHERE Name = abanca corpor,"Return SUM of Amount where Name is Abanca Corporacion Bancaria, S.A.."
SELECT SUM Amount FROM table WHERE Name = biser topco ,Display the  SUM of Amount where Name is Biser Topco S.Ã  r.l.
SELECT SUM Amount FROM table WHERE Name = magyar bankholding,What is the SUM of Amount where Name is Magyar Bankholding
SELECT AVG Honorary professors FROM table WHERE Lecturers = 1 AND Department = economics,What is the average number of honorary professors in the economics department with 1 lecturer?
SELECT SUM Amount FROM table WHERE Name = kutxa,"Return SUM of Amount where Name is Kutxabank, S.A"
SELECT SUM Amount FROM table WHERE Name = unicaja banco,"Return SUM of Amount where Name is Unicaja Banco, S.A."
SELECT AVG Top-5 FROM table WHERE Cuts made = 5 AND Tournament = the open championship AND Events < 6,"What is the average value for Top-5, when the value Cuts is 5, and when the tournament is the Open Championship, and when the value Events is less than 6?"
SELECT Points for FROM table WHERE Tries for = 29,What is the points for where the tries for is 29?
SELECT SUM Amount FROM table WHERE Name = Luminor Holding,What is the SUM of Amount where Name is Luminor Holding AS
SELECT NSA FROM table WHERE Label = 202009,What is NSA where Label is 202009
SELECT Years FROM table WHERE Area = marton AND Decile = 3 AND Name = turakina maori girls' college,Name the years for marton and decile of 3 for turakina maori girls' college?
SELECT District FROM table WHERE Counties Represented = baltimore county AND Committee = health and government operations AND First Elected < 2002,"What district has counties represented by Baltimore county, a committee of health and government operations, and a first elected smaller than 2002?"
SELECT Period FROM table WHERE Amount > 10000,Display the Period where Amount is greater than 10000
SELECT Desc Country FROM table WHERE Label = Transitional adjustments,What is the Desc Country where Label is Transitional adjustments
SELECT NSA FROM table WHERE Period = 202012,What is NSA where period is 202012
SELECT SUM Amount FROM table WHERE Name = banco sant,"Display the  SUM of Amount where Name is Banco Santander, S.A.."
SELECT SUM Top-10 FROM table WHERE Cuts made = 2 AND Wins < 0,What is the sum of the value Top-10 that has a Cuts value of 2 and a Wins value smaller than 0?
SELECT Amount FROM table WHERE LEI_Code = 0W20W2PZJM8XOY22M4GG889,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG889
SELECT Desc Country FROM table WHERE Label = Adjustments to CET1,Show Desc Country where Label is Adjustments to CET1 due to prudential filters
SELECT SUM Amount FROM table WHERE Name = mbg group,What is the SUM of Amount where Name is MDB Group Limited
SELECT SUM Amount FROM table WHERE Name = abanca corpor,"Display the  SUM of Amount where Name is Abanca Corporacion Bancaria, S.A.."
SELECT Place FROM table WHERE Country = canada,What place has Canada as the country?
SELECT Period FROM table WHERE Amount < 10000,Display the Period where Amount is lesser than 10000
SELECT Host Team FROM table WHERE Final Score = 26-24,Who was the host team for the game with the final score of 26-24?
SELECT Frequency FROM table WHERE Power = 900w,What is the frequency with 900w power?
SELECT SUM Amount FROM table WHERE Name = rbc investor,What is the SUM of Amount where Name is RBC Investor Services Bank S.A.
SELECT Extra FROM table WHERE Tournament = commonwealth games,What was the extra info for the Commonwealth Games?
SELECT SUM Amount FROM table WHERE Name = abanca corpor,"What is the SUM of Amount where Name is Abanca Corporacion Bancaria, S.A.."
SELECT SUM Amount FROM table WHERE Name = akciju,"What is the SUM of Amount where Name is Akciju sabiedriba ""Citadele banka"""
SELECT Country FROM table WHERE Item = 2121005,Get the country where Item is 2121005
"SELECT Loss FROM table WHERE Attendance = 17,675","What Loss had an Attendance of 17,675?"
Select * from LEI_Code,Display total LEI_Code
SELECT Label FROM table WHERE Amount < 10000,Display the Label where Amount is lesser than 10000
SELECT SUM Amount FROM table WHERE Name = Volkswagen Bank Gesellschaft mit Be,Return SUM of Amount where Name is Volkswagen Bank Gesellschaft mit beschrÃ¤nkter Haftung
SELECT Country FROM table WHERE Item = 2121007,Get the country where Item is 2121007
SELECT NSA FROM table WHERE Period = 202010,What is NSA where period is 202010
SELECT SUM Amount FROM table WHERE Name = j.p.,Return SUM of Amount where Name is J.P. Morgan AG
SELECT Club FROM table WHERE Tries for = 73,Which of the participating clubs had 73 tries for?
SELECT SUM Amount FROM table WHERE Name = rbc investor,Return SUM of Amount where Name is RBC Investor Services Bank S.A.
SELECT Category FROM table WHERE Result = nominated AND Year = 2010 AND Award = kids' choice awards mexico AND Recipient(s) = joe jonas,What category was Joe Jonas nominated for at the Kids' Choice Awards Mexico in 2010?
SELECT SUM Amount FROM table WHERE Name = Volkswagen Bank Gesellschaft mit Be,What is the SUM of Amount where Name is Volkswagen Bank Gesellschaft mit beschrÃ¤nkter Haftung
SELECT Country FROM table WHERE Item = 2121008,Get the country where Item is 2121008
SELECT MIN Events FROM table WHERE Top-5 > 1,"What is the lowest value for Events, when the value for Top-5 is greater than 1?"
"SELECT * FROM table WHERE Name = Ibercaja Banco,","Display all values where Name is Ibercaja Banco, S.A."
SELECT Country FROM table WHERE Item = 2121012,Get the country where Item is 2121012
SELECT Desc_Country FROM table WHERE Label = Total Assets,What are the Desc_Country where Label is Total Assets
SELECT Amount FROM table WHERE Label = COMMON EQUITY T,What is the Amount where Label is COMMON EQUITY TIER 1 CAPITAL
SELECT Location FROM table WHERE Opponent = arturo segovia,Where did arturo segovia compete?
SELECT SUM Amount FROM table WHERE Name = akcine bendro,Display the  SUM of Amount where Name is Akcine bendrove Å iauliu bankas.
SELECT Player FROM table WHERE Score = 69,Which player has 69 as the score?
SELECT AVG Total Medals FROM table WHERE Ensemble = goshen hs,Name the average total medals with ensemble of goshen hs
SELECT Loss FROM table WHERE Date = june 12,What Loss occured on the Date of June 12?
SELECT COUNT Full professors FROM table WHERE Head = hartmut kliemt AND Lecturers > 0,How many full professors work under Hartmut Kliemt with more than 0 lecturers?
SELECT Counties Represented FROM table WHERE Party = democratic AND Committee = ways and means,"What counties represented have a democratic committee, and a committee of ways and means?"
SELECT Type FROM table WHERE Unit = greifswald - 7 (kgr 7),Which type had the unit greifswald - 7 (kgr 7) ?
SELECT Desc_country FROM table WHERE Label = COMMON EQU,What is the Desc_country where Label is COMMON EQUITY TIER 1 CAPITAL
SELECT Desc_country FROM table WHERE Amount = 19655.04,what is desc_country where Amount is 19655.04
SELECT LEI_Code FROM table WHERE Amount < 10000,Display the LEI_Code where Amount is lesser than 10000
SELECT LEI_Code FROM table WHERE Amount > 10000,Display the LEI_Code where Amount is greater than 10000
SELECT SUM Amount FROM table WHERE Name = banco sant,"What is the SUM of Amount where Name is Banco Santander, S.A.."
SELECT AVG Score FROM table WHERE Player = lee westwood,What is the average score with lee westwood as the player?
SELECT Desc Country FROM table WHERE Label = (-) Amount exc,Locate the values of Desc Country where Label is (-) Amount exceding the 17.65% threshold
SELECT SUM Amount FROM table WHERE Name = sberbank european,Display the  SUM of Amount where Name is Sberbank Europe AG
SELECT Name FROM table WHERE Desc_country = Austria,What is the Name where Desc_country is Austria
SELECT Category FROM table WHERE Recipient(s) = nick jonas AND Award = kids' choice awards mexico,In which category did Nick Jonas win at the Kids' Choice Awards Mexico?
SELECT SUM Amount FROM table WHERE Name = bank of valletta,Return SUM of Amount where Name is Bank of Valletta Plc
SELECT MAX Year FROM table WHERE Pts. > 0,What is the latesr year that has more points than 0?
SELECT 1940s FROM table WHERE 1980s < 1986 AND 1990s < 1995 AND 1970s < 1973 AND 2000s > 2001,"What would be the correct year in the 1940s, if the 1980s is before 1986, the 1990s is before 1995, the 1970s is before 1973, and the 2000s are after 2001?"
SELECT Desc Country FROM table WHERE Label = Funds for General Banking Risk,What is the Desc Country where Label is Funds for general banking risk
SELECT Desc Country FROM table WHERE Label = Funds for General Banking Risk,What is the Desc Country where Label is Funds for general banking risk
SELECT Amount FROM table WHERE LEI_Code = 0W2PZJM8XOY22M4GG886,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG886
SELECT Points for FROM table WHERE Club = penallta rfc,What is the points for of Club of penallta rfc?
SELECT Finrep FROM table WHERE Period = 202106,What is Finrep where Period is 202106
SELECT Label FROM table WHERE Amount = 10000,Display the Label where Amount is 10000
